,Name,URL,Contributors,Programming_Language,Stars,Issues,Forks,Readme_Length
0,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,731,JavaScript,"291,623",164,"13,481",2785
1,twbs/bootstrap,https://github.com/twbs/bootstrap,983,CSS,"122,084",319,"57,735",5018
2,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,981,,"101,511",17,"25,815",1573
3,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,"1,343",C++,"90,046","1,206","58,489",3014
4,facebook/react,https://github.com/facebook/react,"1,167",JavaScript,"88,860",326,"16,817",3297
5,vuejs/vue,https://github.com/vuejs/vue,167,JavaScript,"84,426",97,"12,372",2812
6,sindresorhus/awesome,https://github.com/sindresorhus/awesome,324,,"78,653",38,"10,312",12873
7,getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,159,,"76,196",110,"13,759",2645
8,d3/d3,https://github.com/d3/d3,121,JavaScript,"72,713",3,"18,776",1506
9,airbnb/javascript,https://github.com/airbnb/javascript,379,JavaScript,"66,715",89,"12,761",71729
10,robbyrussell/oh-my-zsh,https://github.com/robbyrussell/oh-my-zsh,"1,090",Shell,"66,204",532,"14,090",7404
11,github/gitignore,https://github.com/github/gitignore,918,,"61,828",169,"28,024",3319
12,facebook/react-native,https://github.com/facebook/react-native,"1,607",JavaScript,"60,153",565,"13,820",4066
13,jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,104,,"58,062",26,"15,697",69565
14,angular/angular.js,https://github.com/angular/angular.js,"1,604",JavaScript,"58,043",503,"28,802",5254
15,electron/electron,https://github.com/electron/electron,732,C++,"56,906",839,"7,424",2809
16,torvalds/linux,https://github.com/torvalds/linux,∞,C,"55,585",194,"20,499",722
17,FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,2,CSS,"55,026","4,387","9,528",3681
18,daneden/animate.css,https://github.com/daneden/animate.css,84,CSS,"49,329",7,"10,668",6287
19,jquery/jquery,https://github.com/jquery/jquery,272,JavaScript,"48,110",71,"14,411",11077
20,moby/moby,https://github.com/moby/moby,"1,751",Go,"47,720","2,932","14,075",3139
21,nodejs/node,https://github.com/nodejs/node,"1,921",JavaScript,"45,665",656,"9,579",18217
22,vinta/awesome-python,https://github.com/vinta/awesome-python,280,Python,"45,663",45,"8,812",55234
23,Microsoft/vscode,https://github.com/Microsoft/vscode,517,TypeScript,"44,647","4,122","6,057",1801
