Name,Games Played_x,Games Started_x,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame,TotalMin_x,FGPer36,FGAPer36,FG%Per36,3pPer36,3PAPer36,3p%Per36,2pPer36,2pAPer36,2p%Per36,FTPer36,FTAPer36,FT%Per36,ORGPer36,DRBPer36,TotalRebPer36,AstPer36,StealPer36,BlkPer36,TOVPer36,FoulsPer36,PtsPer36,Games Started,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,ORtg,DRtg,TotalMin,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
A.C. Green,1278,832.0,28.6,3.6,7.2,0.494,0.1,0.4,0.254,3.5,6.8,0.507,0.501,2.4,3.3,0.7340000000000001,2.6,4.8,7.4,1.1,0.8,0.4,1.1,1.9,9.6,36552,4.5,9.1,0.494,0.1,0.5,0.254,4.4,8.6,0.507,3.1,4.2,0.7340000000000001,3.3,6.0,9.3,1.4,1.0,0.5,1.4,2.4,12.1,832.0,6.3,12.7,0.494,0.2,0.7,0.254,6.1,12.0,0.507,4.3,5.9,0.7340000000000001,4.6,8.4,13.1,1.9,1.4,0.8,2.0,3.4,17.0,116.0,106.0,36552.0,14.4,0.557,0.053,0.462,10.6,18.7,14.7,5.4,1.4,0.9,11.5,14.8,58.3,41.2,99.5,0.131,0.0,0.5,0.4,22.2
A.J. Bramlett,8,0.0,7.6,0.5,2.6,0.19,0.0,0.0,,0.5,2.6,0.19,0.19,0.0,0.0,,1.5,1.3,2.8,0.0,0.1,0.0,0.4,1.6,1.0,61,2.4,12.4,0.19,0.0,0.0,,2.4,12.4,0.19,0.0,0.0,,7.1,5.9,13.0,0.0,0.6,0.0,1.8,7.7,4.7,0.0,3.3,17.3,0.19,0.0,0.0,,3.3,17.3,0.19,0.0,0.0,,9.9,8.2,18.1,0.0,0.8,0.0,2.5,10.7,6.6,64.0,106.0,61.0,-0.4,0.19,0.0,0.0,21.7,18.5,20.1,0.0,0.8,0.0,12.5,17.1,-0.2,0.1,-0.2,-0.129,-10.5,-6.3,-16.8,-0.2
A.J. English,151,18.0,20.6,4.1,9.4,0.435,0.1,0.4,0.138,4.0,9.0,0.449,0.43799999999999994,1.7,2.2,0.778,0.9,1.2,2.1,2.1,0.4,0.2,1.3,1.9,9.9,3108,7.1,16.4,0.435,0.1,0.8,0.138,7.0,15.7,0.449,3.0,3.9,0.778,1.6,2.0,3.6,3.7,0.7,0.3,2.4,3.3,17.4,18.0,9.8,22.4,0.435,0.1,1.0,0.138,9.6,21.4,0.449,4.1,5.3,0.778,2.2,2.8,5.0,5.1,0.9,0.4,3.2,4.5,23.8,99.0,113.0,3108.0,11.6,0.48,0.046,0.235,4.9,6.2,5.5,15.7,0.9,0.5,11.5,23.9,-0.3,1.4,1.1,0.017,-2.2,-2.9,-5.1,-2.4
A.J. Guyton,80,14.0,15.6,2.1,5.5,0.377,0.9,2.4,0.37799999999999995,1.2,3.1,0.377,0.46,0.5,0.6,0.8220000000000001,0.3,0.7,1.0,1.8,0.3,0.2,0.8,0.7,5.5,1246,4.8,12.7,0.377,2.1,5.6,0.37799999999999995,2.7,7.1,0.377,1.1,1.3,0.8220000000000001,0.6,1.7,2.3,4.2,0.6,0.3,1.8,1.7,12.8,14.0,7.1,18.8,0.377,3.1,8.3,0.37799999999999995,4.0,10.6,0.377,1.6,1.9,0.8220000000000001,0.9,2.5,3.4,6.3,0.9,0.5,2.7,2.5,18.9,98.0,113.0,1246.0,10.9,0.48100000000000004,0.439,0.102,2.0,5.7,3.8,20.9,0.9,0.7,11.9,19.3,0.3,-0.1,0.3,0.01,-1.0,-4.4,-5.4,-1.1
A.J. Hammons,22,0.0,7.4,0.8,1.9,0.405,0.2,0.5,0.5,0.5,1.5,0.375,0.46399999999999997,0.4,0.9,0.45,0.4,1.3,1.6,0.2,0.0,0.6,0.5,1.0,2.2,163,3.8,9.3,0.405,1.1,2.2,0.5,2.7,7.1,0.375,2.0,4.4,0.45,1.8,6.2,8.0,0.9,0.2,2.9,2.2,4.6,10.6,0.0,5.4,13.4,0.405,1.6,3.2,0.5,3.8,10.2,0.375,2.9,6.4,0.45,2.6,8.9,11.5,1.3,0.3,4.2,3.2,6.7,15.3,87.0,106.0,163.0,8.4,0.47200000000000003,0.23800000000000002,0.47600000000000003,5.4,21.0,12.8,3.8,0.3,7.2,16.4,17.6,-0.2,0.2,0.0,-0.001,-7.5,2.0,-5.6,-0.1
A.J. Price,261,25.0,15.1,2.1,5.5,0.38,0.8,2.6,0.316,1.3,2.9,0.439,0.456,0.8,1.1,0.742,0.3,1.2,1.4,2.2,0.5,0.0,0.9,0.9,5.8,3929,5.0,13.2,0.38,2.0,6.3,0.316,3.0,6.9,0.439,1.9,2.6,0.742,0.6,2.8,3.5,5.2,1.1,0.1,2.1,2.2,14.0,25.0,7.2,18.8,0.38,2.8,9.0,0.316,4.3,9.8,0.439,2.7,3.6,0.742,0.9,4.0,4.9,7.4,1.6,0.1,3.0,3.1,19.8,100.0,108.0,3929.0,12.2,0.486,0.478,0.193,1.9,8.7,5.3,23.6,1.6,0.2,12.8,20.5,1.2,3.5,4.7,0.057999999999999996,-0.3,-2.1,-2.4,-0.4
A.J. Wynder,6,0.0,6.5,0.5,2.0,0.25,0.0,0.2,0.0,0.5,1.8,0.273,0.25,1.0,1.3,0.75,0.2,0.3,0.5,1.3,0.2,0.0,0.7,0.2,2.0,39,2.8,11.1,0.25,0.0,0.9,0.0,2.8,10.2,0.273,5.5,7.4,0.75,0.9,1.8,2.8,7.4,0.9,0.0,3.7,0.9,11.1,0.0,3.8,15.0,0.25,0.0,1.3,0.0,3.8,13.8,0.273,7.5,10.0,0.75,1.3,2.5,3.8,10.0,1.3,0.0,5.0,1.3,15.0,87.0,112.0,39.0,7.6,0.387,0.083,0.667,3.1,5.2,4.2,24.0,1.3,0.0,20.5,21.1,-0.1,0.0,0.0,-0.051,-5.9,-3.5,-9.4,-0.1
Aaron Brooks,642,183.0,20.9,3.5,8.5,0.413,1.3,3.4,0.37,2.2,5.1,0.442,0.488,1.4,1.7,0.838,0.4,1.3,1.7,3.0,0.6,0.1,1.6,1.9,9.7,13410,6.1,14.7,0.413,2.2,5.9,0.37,3.9,8.7,0.442,2.5,2.9,0.838,0.7,2.2,2.9,5.2,1.0,0.2,2.7,3.2,16.7,183.0,8.6,20.8,0.413,3.1,8.4,0.37,5.5,12.4,0.442,3.5,4.2,0.838,1.0,3.1,4.1,7.3,1.4,0.3,3.8,4.6,23.8,104.0,110.0,13410.0,13.3,0.525,0.40399999999999997,0.2,2.1,6.8,4.5,23.6,1.4,0.5,14.4,23.1,10.5,8.7,19.2,0.069,0.7,-2.4,-1.8,0.8
Aaron Gordon,249,160.0,25.9,4.2,9.3,0.456,0.9,2.9,0.31,3.3,6.4,0.522,0.504,1.8,2.6,0.7,1.6,4.3,5.8,1.7,0.7,0.6,1.1,2.0,11.2,6439,5.9,12.9,0.456,1.2,4.0,0.31,4.6,8.9,0.522,2.5,3.6,0.7,2.2,5.9,8.1,2.3,1.0,0.8,1.5,2.8,15.6,160.0,8.1,17.8,0.456,1.7,5.5,0.31,6.4,12.3,0.522,3.5,5.0,0.7,3.0,8.2,11.2,3.2,1.4,1.2,2.1,3.8,21.5,108.0,109.0,6439.0,15.5,0.536,0.31,0.282,6.6,18.5,12.4,10.0,1.4,1.9,9.5,19.7,6.8,5.9,12.7,0.095,-0.1,0.1,0.0,3.2
Aaron Gray,318,87.0,12.1,1.4,2.7,0.509,0.0,0.0,0.0,1.4,2.7,0.511,0.509,0.6,1.0,0.562,1.4,2.4,3.7,0.7,0.3,0.3,0.8,2.1,3.4,3851,4.1,8.1,0.509,0.0,0.0,0.0,4.1,8.0,0.511,1.7,3.1,0.562,4.0,7.1,11.1,1.9,0.9,0.8,2.5,6.3,10.0,87.0,6.0,11.8,0.509,0.0,0.0,0.0,6.0,11.7,0.511,2.5,4.5,0.562,5.9,10.4,16.2,2.8,1.3,1.2,3.6,9.2,14.5,102.0,105.0,3851.0,11.5,0.528,0.003,0.38299999999999995,12.9,23.1,18.0,8.4,1.3,1.8,20.8,15.1,1.4,4.8,6.2,0.077,-2.8,0.9,-1.8,0.2
