,Name,Year,blank,blank,League,blank,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
0,Alaa Abdelnaby,Career,,,NBA,,256,53,3200,9.7,19.3,.502,0.0,0.0,.000,9.7,19.2,.503,3.5,5.0,.701,4.4,8.8,13.2,1.3,1.1,1.1,3.8,7.5,22.8,,101,106
2,Kareem Abdul-Jabbar,Career,,,NBA,,1239,625,43787,12.4,22.0,.559,0.0,0.0,.056,12.4,22.0,.560,5.2,7.1,.721,3.1,9.9,13.1,4.5,1.2,3.4,2.7,3.9,29.9,,115,99
3,Mahmoud Abdul-Rauf,Career,,,NBA,,586,336,15628,11.2,25.3,.442,1.5,4.3,.354,9.7,21.0,.460,3.3,3.7,.905,0.7,2.8,3.5,6.6,1.5,0.1,3.1,3.5,27.2,,106,111
4,Tariq Abdul-Wahad,Career,,,NBA,,236,145,4807,7.6,18.2,.417,0.2,0.8,.237,7.4,17.4,.425,3.9,5.6,.703,3.0,5.2,8.2,2.8,1.9,0.9,3.3,5.1,19.3,,95,105
5,Shareef Abdur-Rahim,Career,,,NBA,,830,704,28882,9.9,21.0,.472,0.3,0.9,.297,9.6,20.1,.480,7.3,9.0,.810,3.4,8.0,11.4,3.9,1.5,1.2,3.9,4.2,27.4,,108,107
6,Tom Abernethy,Career,,,NBA,,319,,5434,6.2,12.6,.492,0.0,0.1,.000,6.2,12.6,.493,2.8,3.8,.747,3.2,5.4,8.6,3.3,1.6,0.5,1.1,4.5,15.2,,114,103
9,Alex Abrines,Career,,,NBA,,126,14,1981,5.6,14.6,.388,4.0,10.6,.373,1.7,3.9,.427,1.9,2.2,.886,1.0,3.6,4.6,1.5,1.7,0.4,1.4,5.4,17.2,,112,110
10,Alex Acker,Career,,,NBA,,30,0,234,7.7,20.8,.370,1.8,5.6,.320,5.9,15.1,.388,1.1,2.3,.500,2.0,4.5,6.5,3.6,1.4,0.9,2.5,2.9,18.3,,88,112
12,Mark Acres,Career,,,NBA,,375,68,5982,4.1,8.1,.506,0.1,0.1,.538,4.1,8.0,.505,2.5,3.7,.665,4.7,7.6,12.2,1.4,1.1,0.8,1.9,7.5,10.8,,113,111
14,Quincy Acy,Career,,,NBA,,312,60,5030,5.4,12.1,.447,1.5,4.4,.346,3.9,7.7,.505,2.8,3.7,.761,3.0,8.2,11.2,2.0,1.3,1.2,2.1,6.1,15.2,,108,109
15,Alvan Adams,Career,,,NBA,,988,342,27203,9.7,19.4,.498,0.0,0.0,.133,9.7,19.4,.498,4.2,5.3,.788,3.4,8.3,11.7,6.8,2.2,1.4,3.7,5.4,23.5,,105,100
16,Don Adams,Career,,,TOT,,294,,7155,5.4,13.4,.402,0.0,0.1,.000,5.4,13.3,.402,2.8,3.9,.741,2.7,6.1,8.8,3.7,2.1,0.4,0.5,5.5,13.7,,98,99
17,George Adams,Career,,,ABA,,155,,3038,8.3,16.6,.497,0.1,0.3,.235,8.3,16.5,.500,2.2,2.8,.794,3.5,6.3,9.8,3.7,1.3,0.9,3.3,4.1,18.8,,103,107
18,Hassan Adams,Career,,,NBA,,73,8,547,7.6,14.2,.534,0.0,0.1,.000,7.6,14.1,.537,2.6,4.0,.643,3.5,4.6,8.1,1.3,1.7,0.5,2.5,4.9,17.8,,104,108
19,Jordan Adams,Career,,,NBA,,32,0,263,7.3,18.2,.402,2.0,5.2,.385,5.4,13.1,.409,3.4,5.6,.607,1.8,4.2,5.9,3.8,3.8,1.4,3.2,5.2,20.0,,95,100
20,Michael Adams,Career,,,NBA,,653,510,20446,7.4,17.9,.415,2.2,6.5,.332,5.3,11.4,.462,4.9,5.8,.849,1.0,3.4,4.3,9.6,2.5,0.2,3.2,2.7,22.0,,112,110
21,Steven Adams,Career,,,NBA,,370,306,9300,6.9,11.9,.584,0.0,0.0,.000,6.9,11.8,.585,3.1,5.4,.570,6.1,7.4,13.6,1.7,1.5,2.0,2.6,5.4,16.9,,117,105
22,Rafael Addison,Career,,,NBA,,379,54,5697,8.1,18.1,.449,0.6,2.2,.282,7.5,15.9,.472,2.4,3.2,.772,2.3,4.6,6.9,3.0,1.3,0.7,2.5,5.9,19.3,,102,112
23,Bam Adebayo,Career,,,NBA,,53,11,1085,6.6,11.9,.555,0.0,0.3,.000,6.6,11.6,.568,5.0,6.9,.730,4.0,9.4,13.4,4.0,1.3,1.7,2.3,5.0,18.2,,123,105
25,Jeff Adrien,Career,,,NBA,,153,17,2148,6.4,13.5,.474,0.0,0.0,.000,6.4,13.4,.476,4.4,7.0,.628,5.4,10.6,16.0,2.4,1.2,1.9,2.2,6.3,17.2,,109,108
