,Name,Year,blank,blank,League,blank,Games Played,Games Started,TotalMin,FGPer36,FGAPer36,FG%Per36,3pPer36,3PAPer36,3p%Per36,2pPer36,2pAPer36,2p%Per36,FTPer36,FTAPer36,FT%Per36,ORGPer36,DRBPer36,TotalRebPer36,AstPer36,StealPer36,BlkPer36,TOVPer36,FoulsPer36,PtsPer36
0,Alaa Abdelnaby,Career,,,NBA,,256,53,3200,7.0,13.9,.502,0.0,0.0,.000,7.0,13.9,.503,2.5,3.6,.701,3.2,6.3,9.5,1.0,0.8,0.8,2.8,5.4,16.5
2,Kareem Abdul-Jabbar,Career,,,NBA,,1560,625,57446,9.9,17.7,.559,0.0,0.0,.056,9.9,17.7,.560,4.2,5.8,.721,2.4,7.7,10.9,3.5,1.0,2.6,2.9,2.9,24.1
3,Mahmoud Abdul-Rauf,Career,,,NBA,,586,336,15628,8.1,18.3,.442,1.1,3.1,.354,7.0,15.2,.460,2.4,2.7,.905,0.5,2.0,2.5,4.8,1.1,0.1,2.2,2.5,19.7
4,Tariq Abdul-Wahad,Career,,,NBA,,236,145,4807,5.4,12.9,.417,0.1,0.6,.237,5.3,12.4,.425,2.8,4.0,.703,2.1,3.7,5.8,2.0,1.4,0.6,2.3,3.6,13.7
5,Shareef Abdur-Rahim,Career,,,NBA,,830,704,28882,6.8,14.4,.472,0.2,0.6,.297,6.6,13.7,.480,5.0,6.2,.810,2.3,5.4,7.8,2.6,1.0,0.8,2.7,2.9,18.7
6,Tom Abernethy,Career,,,NBA,,319,,5434,4.8,9.8,.492,0.0,0.0,.000,4.8,9.7,.493,2.2,2.9,.747,2.5,4.2,6.7,2.5,1.2,0.4,1.1,3.5,11.8
9,Alex Abrines,Career,,,NBA,,126,14,1981,4.1,10.6,.388,2.9,7.7,.373,1.2,2.9,.427,1.4,1.6,.886,0.7,2.6,3.3,1.1,1.2,0.3,1.0,3.9,12.5
10,Alex Acker,Career,,,NBA,,30,0,234,5.2,14.2,.370,1.2,3.8,.320,4.0,10.3,.388,0.8,1.5,.500,1.4,3.1,4.5,2.5,0.9,0.6,1.7,2.0,12.5
12,Mark Acres,Career,,,NBA,,375,68,5982,3.1,6.1,.506,0.0,0.1,.538,3.1,6.0,.505,1.9,2.8,.665,3.5,5.7,9.2,1.1,0.8,0.6,1.4,5.6,8.1
14,Quincy Acy,Career,,,NBA,,312,60,5030,3.9,8.7,.447,1.1,3.2,.346,2.8,5.6,.505,2.0,2.7,.761,2.2,5.9,8.0,1.4,1.0,0.9,1.5,4.4,10.9
15,Alvan Adams,Career,,,NBA,,988,342,27203,7.6,15.2,.498,0.0,0.0,.133,7.6,15.2,.498,3.3,4.2,.788,2.7,6.5,9.2,5.3,1.7,1.1,3.5,4.3,18.4
16,Don Adams,Career,,,TOT,,523,,13474,4.9,12.1,.402,0.0,0.1,.000,4.9,12.1,.402,2.5,3.4,.741,2.2,4.8,7.8,2.7,1.7,0.3,2.7,4.6,12.3
17,George Adams,Career,,,ABA,,215,,3903,6.6,13.3,.497,0.0,0.2,.235,6.6,13.1,.500,2.0,2.5,.794,2.9,5.2,8.1,2.9,1.0,0.7,2.7,3.4,15.2
18,Hassan Adams,Career,,,NBA,,73,8,547,5.2,9.7,.534,0.0,0.1,.000,5.2,9.7,.537,1.8,2.8,.643,2.4,3.2,5.5,0.9,1.2,0.3,1.7,3.4,12.2
19,Jordan Adams,Career,,,NBA,,32,0,263,5.1,12.6,.402,1.4,3.6,.385,3.7,9.0,.409,2.3,3.8,.607,1.2,2.9,4.1,2.6,2.6,1.0,2.2,3.6,13.8
20,Michael Adams,Career,,,NBA,,653,510,20446,5.7,13.8,.415,1.7,5.0,.332,4.1,8.8,.462,3.8,4.5,.849,0.7,2.6,3.3,7.4,1.9,0.1,2.5,2.1,16.9
21,Steven Adams,Career,,,NBA,,370,306,9300,5.0,8.6,.584,0.0,0.0,.000,5.0,8.6,.585,2.2,3.9,.570,4.4,5.4,9.8,1.2,1.1,1.4,1.9,3.9,12.2
22,Rafael Addison,Career,,,NBA,,379,54,5697,5.8,12.9,.449,0.4,1.5,.282,5.4,11.4,.472,1.8,2.3,.772,1.7,3.3,4.9,2.1,0.9,0.5,1.8,4.2,13.8
23,Bam Adebayo,Career,,,NBA,,53,11,1085,4.7,8.5,.555,0.0,0.2,.000,4.7,8.3,.568,3.6,4.9,.730,2.9,6.7,9.6,2.8,0.9,1.2,1.6,3.6,13.0
25,Jeff Adrien,Career,,,NBA,,153,17,2148,4.4,9.3,.474,0.0,0.0,.000,4.4,9.3,.476,3.0,4.8,.628,3.7,7.3,11.0,1.7,0.8,1.3,1.5,4.3,11.9
26,Arron Afflalo,Career,,,NBA,,754,536,20721,5.2,11.5,.450,1.5,3.8,.386,3.7,7.7,.481,2.4,2.9,.825,0.6,3.2,3.8,2.4,0.6,0.2,1.5,2.6,14.2
27,Maurice Ager,Career,,,NBA,,82,4,505,4.6,13.5,.339,0.8,3.1,.250,3.8,10.3,.366,2.1,3.8,.566,0.6,2.7,3.3,1.4,0.4,0.4,2.1,4.6,12.0
28,Mark Aguirre,Career,,,NBA,,923,639,27730,9.3,19.3,.484,0.5,1.6,.312,8.8,17.7,.500,4.8,6.4,.741,2.2,3.7,5.9,3.7,0.9,0.4,3.0,3.4,24.0
29,Blake Ahearn,Career,,,NBA,,19,0,226,3.3,12.3,.273,2.2,7.5,.298,1.1,4.8,.233,5.1,5.3,.970,0.2,3.3,3.5,3.5,1.1,0.0,3.5,4.3,14.0
30,Danny Ainge,Career,,,NBA,,1042,508,27755,6.0,12.8,.469,1.3,3.4,.378,4.7,9.4,.502,2.2,2.6,.846,0.9,2.7,3.6,5.4,1.5,0.2,2.0,3.3,15.5
32,Alexis Ajinca,Career,,,NBA,,293,76,3905,5.9,11.8,.503,0.1,0.4,.286,5.8,11.4,.510,2.3,2.9,.797,3.2,7.4,10.6,1.3,0.9,1.7,2.3,6.1,14.3
34,Josh Akognon,Career,,,NBA,,3,0,9,8.0,16.0,.500,4.0,8.0,.500,4.0,8.0,.500,0.0,0.0,,0.0,4.0,4.0,4.0,0.0,0.0,0.0,12.0,20.0
35,Solomon Alabi,Career,,,NBA,,26,0,181,3.2,10.1,.314,0.0,0.0,,3.2,10.1,.314,1.4,2.0,.700,4.4,7.8,12.1,1.0,0.8,2.2,1.6,3.2,7.8
36,Mark Alarie,Career,,,NBA,,325,41,5500,6.8,14.3,.475,0.2,0.9,.252,6.6,13.4,.490,2.1,2.7,.775,2.9,4.5,7.3,2.4,0.9,0.7,2.0,4.7,15.9
38,Furkan Aldemir,Career,,,NBA,,41,9,540,2.7,5.2,.513,0.0,0.3,.000,2.7,4.9,.548,0.9,1.8,.481,5.2,6.5,11.7,1.9,1.1,1.1,1.1,6.4,6.2
39,Cole Aldrich,Career,,,NBA,,333,23,3371,4.6,8.8,.528,0.0,0.0,,4.6,8.8,.528,1.9,2.6,.744,3.6,8.4,12.0,1.9,1.5,2.5,2.1,5.4,11.2
40,LaMarcus Aldridge,Career,,,NBA,,851,810,29483,8.1,16.7,.487,0.1,0.5,.295,8.0,16.2,.493,3.6,4.5,.805,2.8,5.8,8.6,2.0,0.8,1.1,1.6,2.6,20.0
41,Chuck Aleksinas,Career,,,NBA,,74,4,1114,5.2,10.9,.478,0.0,0.0,.000,5.2,10.9,.479,1.8,2.4,.733,2.8,5.9,8.7,1.2,0.5,0.5,2.3,5.5,12.2
42,Cliff Alexander,Career,,,NBA,,8,0,36,5.0,10.0,.500,0.0,0.0,,5.0,10.0,.500,0.0,0.0,,2.0,4.0,6.0,0.0,1.0,2.0,1.0,1.0,10.0
43,Cory Alexander,Career,,,NBA,,307,35,4847,4.4,11.2,.389,1.8,5.0,.354,2.6,6.2,.417,2.0,2.6,.756,0.6,3.0,3.6,6.2,2.0,0.3,3.5,3.8,12.5
44,Courtney Alexander,Career,,,NBA,,187,59,4067,5.8,13.7,.422,0.4,1.1,.339,5.4,12.7,.429,3.0,3.7,.813,1.1,2.5,3.6,2.0,1.0,0.2,1.8,3.3,15.0
45,Gary Alexander,Career,,,NBA,,11,0,55,5.2,9.2,.571,0.0,0.0,,5.2,9.2,.571,2.0,5.9,.333,4.6,5.2,9.8,1.3,2.0,0.0,5.2,6.5,12.4
46,Joe Alexander,Career,,,NBA,,67,0,745,5.0,12.1,.410,0.8,2.3,.340,4.2,9.9,.426,2.9,4.2,.698,2.2,3.6,5.8,2.1,0.8,1.4,2.5,5.6,13.6
47,Victor Alexander,Career,,,NBA,,286,155,5755,6.9,13.3,.518,0.1,0.4,.286,6.8,12.9,.525,2.0,3.2,.634,2.8,5.9,8.7,1.6,0.8,1.1,2.4,4.5,15.9
48,Steve Alford,Career,,,NBA,,169,3,1641,6.4,13.9,.459,0.8,2.4,.324,5.6,11.5,.487,2.8,3.2,.870,0.5,2.6,3.2,3.9,1.9,0.2,2.0,2.5,16.3
51,Jarrett Allen,Career,,,NBA,,54,13,1024,6.2,10.5,.591,0.1,0.3,.333,6.1,10.2,.599,2.8,3.6,.777,3.8,6.3,10.1,1.3,0.8,1.7,2.0,3.7,15.3
52,Jerome Allen,Career,,,NBA,,117,1,1305,3.1,9.0,.350,1.1,3.5,.317,2.0,5.5,.370,1.9,3.0,.630,0.8,2.6,3.4,5.5,1.4,0.2,2.8,3.5,9.3
53,Kadeem Allen,Career,,,NBA,,7,0,27,1.3,8.0,.167,0.0,4.0,.000,1.3,4.0,.333,4.0,5.3,.750,1.3,2.7,4.0,1.3,1.3,0.0,4.0,2.7,6.7
54,Lavoy Allen,Career,,,NBA,,388,87,6905,4.3,9.2,.471,0.0,0.1,.133,4.3,9.1,.474,1.0,1.4,.682,3.7,5.9,9.6,2.0,0.6,1.1,1.3,3.7,9.6
56,Malik Allen,Career,,,NBA,,478,125,7262,5.2,11.7,.439,0.0,0.1,.188,5.1,11.6,.441,1.3,1.6,.778,2.3,4.4,6.7,1.1,0.6,1.1,1.6,4.4,11.6
57,Randy Allen,Career,,,NBA,,70,6,789,5.2,11.8,.442,0.0,0.4,.000,5.2,11.4,.456,1.1,2.1,.533,2.4,4.2,6.6,1.0,0.8,0.9,1.4,5.0,11.5
58,Ray Allen,Career,,,NBA,,1300,1149,46344,6.7,14.7,.452,2.3,5.8,.400,4.3,9.0,.485,3.4,3.8,.894,1.0,3.1,4.1,3.4,1.1,0.2,2.1,2.2,19.0
59,Tony Allen,Career,,,NBA,,820,441,18055,5.2,10.9,.475,0.2,0.9,.282,4.9,10.0,.492,2.7,3.8,.709,2.0,3.7,5.8,2.1,2.3,0.7,2.2,3.9,13.3
62,Lance Allred,Career,,,NBA,,3,0,10,3.6,14.4,.250,0.0,0.0,,3.6,14.4,.250,3.6,7.2,.500,0.0,3.6,3.6,0.0,0.0,0.0,0.0,3.6,10.8
63,Darrell Allums,Career,,,NBA,,22,,276,3.0,8.7,.343,0.0,0.1,.000,3.0,8.6,.348,1.7,2.9,.591,2.5,6.0,8.5,3.3,0.7,1.0,3.0,6.7,7.7
64,Morris Almond,Career,,,NBA,,38,1,361,4.3,11.3,.381,0.7,2.4,.292,3.6,8.9,.404,2.6,3.5,.743,1.0,3.6,4.6,1.2,1.2,0.4,1.9,4.2,11.9
65,Derrick Alston,Career,,,NBA,,139,42,2657,4.3,8.8,.489,0.0,0.1,.143,4.3,8.7,.493,1.5,3.2,.487,3.1,4.0,7.1,1.3,1.3,1.2,1.5,4.0,10.2
66,Rafer Alston,Career,,,NBA,,671,452,19392,4.5,11.9,.383,1.8,5.2,.354,2.7,6.6,.407,1.7,2.3,.729,0.5,3.1,3.5,5.9,1.5,0.2,2.2,2.6,12.6
