,Name,Year,blank,blank,League,blank,Games Played,Games Started,MinPerGame,FGPerGame,FGAPerGame,FG%PerGame,3pPerGame,3PAPerGame,3p%PerGame,2pPerGame,2pAPerGame,2p%PerGame,eFG%PerGame,FTPerGame,FTAPerGame,FT%PerGame,ORGPerGame,DRBPerGame,TotalRebPerGame,AstPerGame,StealPerGame,BlkPerGame,TOVPerGame,FoulsPerGame,PtsPerGame
0,Alaa Abdelnaby,Career,,,NBA,,256,53,12.5,2.4,4.8,.502,0.0,0.0,.000,2.4,4.8,.503,.502,0.9,1.3,.701,1.1,2.2,3.3,0.3,0.3,0.3,1.0,1.9,5.7
2,Kareem Abdul-Jabbar,Career,,,NBA,,1560,625,36.8,10.2,18.1,.559,0.0,0.0,.056,10.2,18.1,.560,.559,4.3,6.0,.721,2.4,7.6,11.2,3.6,0.9,2.6,2.7,3.0,24.6
3,Mahmoud Abdul-Rauf,Career,,,NBA,,586,336,26.7,6.0,13.6,.442,0.8,2.3,.354,5.2,11.3,.460,.472,1.8,2.0,.905,0.4,1.5,1.9,3.5,0.8,0.1,1.6,1.9,14.6
4,Tariq Abdul-Wahad,Career,,,NBA,,236,145,20.4,3.1,7.3,.417,0.1,0.3,.237,3.0,7.0,.425,.422,1.6,2.2,.703,1.2,2.1,3.3,1.1,0.8,0.4,1.3,2.1,7.8
5,Shareef Abdur-Rahim,Career,,,NBA,,830,704,34.8,6.5,13.9,.472,0.2,0.6,.297,6.4,13.2,.480,.479,4.8,6.0,.810,2.3,5.3,7.5,2.5,1.0,0.8,2.6,2.8,18.1
6,Tom Abernethy,Career,,,NBA,,319,,17.0,2.3,4.6,.492,0.0,0.0,.000,2.3,4.6,.493,.492,1.0,1.4,.747,1.2,2.0,3.2,1.2,0.6,0.2,0.5,1.6,5.6
9,Alex Abrines,Career,,,NBA,,126,14,15.7,1.8,4.6,.388,1.3,3.4,.373,0.5,1.2,.427,.524,0.6,0.7,.886,0.3,1.1,1.5,0.5,0.5,0.1,0.5,1.7,5.5
10,Alex Acker,Career,,,NBA,,30,0,7.8,1.1,3.1,.370,0.3,0.8,.320,0.9,2.2,.388,.413,0.2,0.3,.500,0.3,0.7,1.0,0.5,0.2,0.1,0.4,0.4,2.7
12,Mark Acres,Career,,,NBA,,375,68,16.0,1.4,2.7,.506,0.0,0.0,.538,1.4,2.7,.505,.509,0.8,1.2,.665,1.5,2.5,4.1,0.5,0.4,0.3,0.6,2.5,3.6
14,Quincy Acy,Career,,,NBA,,312,60,16.1,1.7,3.9,.447,0.5,1.4,.346,1.3,2.5,.505,.510,0.9,1.2,.761,1.0,2.6,3.6,0.6,0.4,0.4,0.7,2.0,4.9
15,Alvan Adams,Career,,,NBA,,988,342,27.5,5.8,11.6,.498,0.0,0.0,.133,5.8,11.6,.498,.498,2.5,3.2,.788,2.0,5.0,7.0,4.1,1.3,0.8,2.6,3.3,14.1
16,Don Adams,Career,,,TOT,,523,,25.8,3.5,8.7,.402,0.0,0.1,.000,3.5,8.7,.402,.402,1.8,2.5,.741,1.5,3.3,5.6,1.9,1.1,0.2,2.2,3.3,8.8
17,George Adams,Career,,,ABA,,215,,18.2,3.3,6.7,.497,0.0,0.1,.235,3.3,6.6,.500,.499,1.0,1.3,.794,1.5,2.6,4.1,1.5,0.6,0.4,1.4,1.7,7.7
18,Hassan Adams,Career,,,NBA,,73,8,7.5,1.1,2.0,.534,0.0,0.0,.000,1.1,2.0,.537,.534,0.4,0.6,.643,0.5,0.7,1.2,0.2,0.2,0.1,0.4,0.7,2.5
19,Jordan Adams,Career,,,NBA,,32,0,8.2,1.2,2.9,.402,0.3,0.8,.385,0.8,2.1,.409,.457,0.5,0.9,.607,0.3,0.7,0.9,0.6,0.6,0.2,0.5,0.8,3.2
20,Michael Adams,Career,,,NBA,,653,510,31.3,5.0,12.0,.415,1.5,4.4,.332,3.5,7.6,.462,.475,3.3,3.9,.849,0.6,2.3,2.9,6.4,1.7,0.1,2.1,1.8,14.7
21,Steven Adams,Career,,,NBA,,370,306,25.1,3.5,6.0,.584,0.0,0.0,.000,3.5,6.0,.585,.584,1.5,2.7,.570,3.1,3.8,6.9,0.9,0.8,1.0,1.3,2.7,8.5
22,Rafael Addison,Career,,,NBA,,379,54,15.0,2.4,5.4,.449,0.2,0.6,.282,2.2,4.8,.472,.466,0.7,0.9,.772,0.7,1.4,2.1,0.9,0.4,0.2,0.7,1.8,5.8
23,Bam Adebayo,Career,,,NBA,,53,11,20.5,2.7,4.8,.555,0.0,0.1,.000,2.7,4.7,.568,.555,2.0,2.8,.730,1.6,3.8,5.5,1.6,0.5,0.7,0.9,2.0,7.4
25,Jeff Adrien,Career,,,NBA,,153,17,14.0,1.7,3.6,.474,0.0,0.0,.000,1.7,3.6,.476,.474,1.2,1.9,.628,1.4,2.9,4.3,0.7,0.3,0.5,0.6,1.7,4.6
26,Arron Afflalo,Career,,,NBA,,754,536,27.5,3.9,8.8,.450,1.1,2.9,.386,2.8,5.9,.481,.514,1.8,2.2,.825,0.4,2.4,2.9,1.8,0.4,0.2,1.1,2.0,10.8
27,Maurice Ager,Career,,,NBA,,82,4,6.2,0.8,2.3,.339,0.1,0.5,.250,0.6,1.8,.366,.368,0.4,0.6,.566,0.1,0.5,0.6,0.2,0.1,0.1,0.4,0.8,2.1
28,Mark Aguirre,Career,,,NBA,,923,639,30.0,7.8,16.1,.484,0.4,1.4,.312,7.4,14.7,.500,.498,4.0,5.4,.741,1.8,3.1,5.0,3.1,0.7,0.3,2.5,2.8,20.0
29,Blake Ahearn,Career,,,NBA,,19,0,11.9,1.1,4.1,.273,0.7,2.5,.298,0.4,1.6,.233,.364,1.7,1.7,.970,0.1,1.1,1.2,1.2,0.4,0.0,1.2,1.4,4.6
30,Danny Ainge,Career,,,NBA,,1042,508,26.6,4.5,9.5,.469,1.0,2.5,.378,3.5,7.0,.502,.519,1.6,1.9,.846,0.7,2.0,2.7,4.0,1.1,0.1,1.5,2.4,11.5
32,Alexis Ajinca,Career,,,NBA,,293,76,13.3,2.2,4.4,.503,0.0,0.1,.286,2.2,4.2,.510,.507,0.9,1.1,.797,1.2,2.7,3.9,0.5,0.3,0.6,0.8,2.3,5.3
34,Josh Akognon,Career,,,NBA,,3,0,3.0,0.7,1.3,.500,0.3,0.7,.500,0.3,0.7,.500,.625,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.7
35,Solomon Alabi,Career,,,NBA,,26,0,7.0,0.6,2.0,.314,0.0,0.0,,0.6,2.0,.314,.314,0.3,0.4,.700,0.8,1.5,2.3,0.2,0.2,0.4,0.3,0.6,1.5
36,Mark Alarie,Career,,,NBA,,325,41,16.9,3.2,6.7,.475,0.1,0.4,.252,3.1,6.3,.490,.483,1.0,1.3,.775,1.3,2.1,3.4,1.1,0.4,0.3,1.0,2.2,7.5
38,Furkan Aldemir,Career,,,NBA,,41,9,13.2,1.0,1.9,.513,0.0,0.1,.000,1.0,1.8,.548,.513,0.3,0.7,.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3
39,Cole Aldrich,Career,,,NBA,,333,23,10.1,1.3,2.5,.528,0.0,0.0,,1.3,2.5,.528,.528,0.5,0.7,.744,1.0,2.4,3.4,0.5,0.4,0.7,0.6,1.5,3.1
40,LaMarcus Aldridge,Career,,,NBA,,851,810,34.6,7.8,16.1,.487,0.1,0.4,.295,7.7,15.6,.493,.491,3.5,4.4,.805,2.7,5.6,8.3,1.9,0.8,1.0,1.6,2.5,19.3
41,Chuck Aleksinas,Career,,,NBA,,74,4,15.1,2.2,4.6,.478,0.0,0.0,.000,2.2,4.5,.479,.478,0.7,1.0,.733,1.2,2.5,3.6,0.5,0.2,0.2,1.0,2.3,5.1
42,Cliff Alexander,Career,,,NBA,,8,0,4.5,0.6,1.3,.500,0.0,0.0,,0.6,1.3,.500,.500,0.0,0.0,,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,1.3
43,Cory Alexander,Career,,,NBA,,307,35,15.8,1.9,4.9,.389,0.8,2.2,.354,1.1,2.7,.417,.468,0.9,1.1,.756,0.3,1.3,1.6,2.7,0.9,0.1,1.5,1.7,5.5
44,Courtney Alexander,Career,,,NBA,,187,59,21.7,3.5,8.3,.422,0.2,0.6,.339,3.3,7.7,.429,.435,1.8,2.2,.813,0.7,1.5,2.2,1.2,0.6,0.1,1.1,2.0,9.0
45,Gary Alexander,Career,,,NBA,,11,0,5.0,0.7,1.3,.571,0.0,0.0,,0.7,1.3,.571,.571,0.3,0.8,.333,0.6,0.7,1.4,0.2,0.3,0.0,0.7,0.9,1.7
46,Joe Alexander,Career,,,NBA,,67,0,11.1,1.5,3.7,.410,0.2,0.7,.340,1.3,3.0,.426,.442,0.9,1.3,.698,0.7,1.1,1.8,0.7,0.2,0.4,0.8,1.7,4.2
