,Name,Year,Age,Team,League,Position,Games Played,TotalMin,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blank,OWS,DWS,WS,WS/48,blank,OBPM,DBPM,BPM,VORP
0,Alaa Abdelnaby,1990-91,22,POR,NBA,PF,43,290,13.1,.499,.000,.379,10.4,23.4,17.0,5.8,0.7,2.5,14.0,22.1,,0.0,0.5,0.5,.079,,-4.2,-0.7,-5.0,-0.2
2,Kareem Abdul-Jabbar,1969-70,22,MIL,NBA,C,82,3534,22.5,.552,,.410,,,,13.1,,,,,,9.3,4.5,13.8,.187,,,,,
3,Mahmoud Abdul-Rauf,1990-91,21,DEN,NBA,PG,67,1505,12.2,.448,.099,.097,1.9,6.0,3.8,19.2,1.5,0.1,9.5,27.2,,-0.7,-0.3,-1.0,-0.031,,-1.7,-4.4,-6.1,-1.6
4,Tariq Abdul-Wahad,1997-98,23,SAC,NBA,SG,59,959,10.1,.456,.053,.350,5.0,8.6,6.7,8.9,1.9,0.9,13.6,22.1,,-0.8,0.6,-0.2,-0.008,,-4.2,-1.7,-5.9,-0.9
5,Shareef Abdur-Rahim,1996-97,20,VAN,NBA,PF,80,2802,17.4,.518,.022,.428,8.8,14.2,11.5,12.1,1.5,2.2,13.5,27.6,,1.7,1.2,2.9,.049,,-0.8,-1.2,-2.0,0.0
6,Tom Abernethy,1976-77,22,LAL,NBA,SF,70,1378,12.7,.538,,.384,8.5,12.9,10.8,8.9,1.6,0.4,,,,1.8,1.3,3.1,.110,,-0.7,0.3,-0.4,0.5
9,Alex Abrines,2016-17,23,OKC,NBA,SG,68,1055,10.1,.560,.724,.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,,1.2,0.9,2.1,.096,,-0.3,-2.2,-2.5,-0.1
10,Alex Acker,2005-06,23,DET,NBA,SG,5,35,-2.4,.281,.313,.000,3.4,13.7,8.5,17.9,1.6,0.0,20.0,27.2,,-0.2,0.0,-0.2,-0.230,,-10.4,-1.9,-12.3,-0.1
12,Mark Acres,1987-88,25,BOS,NBA,C,79,1151,9.3,.570,.000,.547,11.6,15.9,13.9,4.5,1.2,1.3,17.7,11.4,,1.1,1.0,2.2,.090,,-1.0,0.0,-1.0,0.3
14,Quincy Acy,2012-13,22,TOR,NBA,PF,29,342,15.9,.632,.027,.507,10.3,16.6,13.4,5.2,2.0,3.5,15.6,14.7,,0.7,0.4,1.1,.157,,-0.6,1.3,0.7,0.2
